DrugBank ID,CAS Number,Drug Groups,InChIKey,SMILES,Formula,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,ChEMBL ID,HET ID,ChemSpider ID,BindingDB ID
DB05045,348119-84-6,investigational,LDUARVOCMXITCM-ILMFCTMOSA-N,CC[C@H](C)[C@H](N=C(O)[C@H](CC1=CC=C(O)C=C1)N=C(O)[C@H](CCCNC(N)=N)N=C(O)[C@H](CCCNC(N)=N)N=C(O)[C@H](CC(C)C)N=C(O)[C@H](CC(O)=O)N=C(O)[C@H](C)N=C(O)[C@H](C)N=C(O)[C@H](CC1=CC=C(O)C=C1)N=C(O)[C@H](CCC(O)=N)N=C(O)[C@H](C)N=C(O)[C@H](CCSC)N=C(O)[C@H](CCC(O)=N)N=C(O)[C@H](CCC(O)=O)N=C(O)[C@@H]1CCCN1C(=O)[C@@H](N=C(O)[C@H](C)N=C(O)[C@H](CC(O)=N)N=C(O)[C@H](CC(O)=O)N=C(O)CN=C(O)[C@@H]1CCCN1C(=O)[C@H](CC1=CC=C(O)C=C1)N=C(O)[C@@H](N=C(O)[C@@H]1CCCN1C(=O)[C@H](CCC(O)=O)N=C(O)[C@H](CC(C)C)N=C(O)[C@@H]1CCCN1C(=O)[C@H](C)N)C(C)C)[C@@H](C)O)C(O)=N[C@@H](CC(O)=N)C(O)=N[C@@H](CCSC)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H]([C@@H](C)O)C(O)=N[C@@H](CCCNC(N)=N)C(O)=N[C@@H](CCC(O)=N)C(O)=N[C@@H](CCCNC(N)=N)C(O)=N[C@@H](CC1=CC=C(O)C=C1)C(O)=N,C185H288N54O55S2,,,131704295,347827706,,,,44241190,
DB05046,,investigational,,,,,,,347909911,,,,,
DB05047,,illicit; investigational,,,,,,,347909912,,,,,
DB05048,,investigational,GSTZHANFXAKPSE-MXTREEOPSA-N,CCCCCCC(C)(C)C1=CC(O)=C([C@H]2CC(=O)[C@H]3C[C@@H]2C3(C)C)C(OC(=O)\C=C\C(O)=O)=C1,C28H38O6,,,10174045,347827707,,CHEMBL3234035,,8349550,50006254
DB05049,,investigational,,,,,,,347909913,,,,,
DB05050,,investigational,,,,,,,347909914,,,,,
DB05051,,investigational,,,,,,,347909915,,,,,
DB05052,,investigational,,,,,,,347909916,,,,,
DB05053,,investigational,CTKZZUXRWBCFEI-UHFFFAOYSA-N,CCOC(=O)C(C)(C)NP(=O)(NC(C)(C)C(=O)OCC)C1=CC=C(O1)C1=C(SC(N)=N1)C(=O)C(C)(C)C,C24H37N4O7PS,,,24770445,347827708,,,,29737497,
DB05054,,investigational,,,,,,,347909917,,,,,
DB05055,,investigational,,,,,,,347909918,,,,,
DB05056,,investigational,,,,,,,347909919,,,,,
DB05057,84611-23-4,investigational,QGFORSXNKQLDNO-UHFFFAOYSA-N,OC(=O)CSCC(=O)NC1CCSC1=O,C8H11NO4S2,,,65632,175426937,135014,CHEMBL1697744,,59073,
DB05059,,investigational,,,,,,,347909920,,,,,
DB05060,,investigational,,,,,,,347909921,,,,,
DB05061,,investigational,,,,,,,347909922,,,,,
DB05063,,investigational,,,,,,,347909923,,,,,
DB05064,,investigational,,,,,,,347909924,,,,,
DB05068,,investigational,,,,,,,347909925,,,,,
DB05069,,investigational,,,,,,,347909926,,,,,
DB05070,,investigational,,,,,,,347909927,,,,,
DB05071,,investigational,,,,,,,347909928,,,,,
DB05072,,investigational,,,,,,,347909929,,,,,
DB05073,,investigational,,,,,,,347909930,,,,,
DB05075,,investigational,JMGXJHWTVBGOKG-UHFFFAOYSA-N,CC1=C2N=C(NC3=CC=C(OCCN4CCCC4)C=C3)N=NC2=CC(=C1)C1=CC(OC(=O)C2=CC=CC=C2)=CC=C1Cl,C33H30ClN5O3,,,11973736,347827709,,CHEMBL403989,,10147091,97971
DB05076,65646-68-6,investigational,AKJHMTWEGVYYSE-FXILSDISSA-N,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(=O)NC1=CC=C(O)C=C1,C26H33NO2,,D04162,5288209,175426938,42588,CHEMBL7301,FEN,4450416,50092055
DB05077,,investigational,,,,,,,347909931,,,,,
DB05078,,investigational,,,,,,,347909932,,,,,
DB05079,,investigational,,,,,,,347909933,,,,,
DB05080,,investigational,,,,,,,347909934,,,,,
DB05081,,investigational,,,,,,,347909935,,,,,
DB05082,,investigational,,,,,,,347909936,,,,,
DB05085,,investigational,,,,,,,,,,,,
